,date,region,region_orig,deaths,confirmed
0,13,LIMA,LIMA,3.0,194.0
1,14,LIMA,LIMA,4.0,212.0
3,16,LIMA,LIMA,4.0,278.0
5,17,LIMA,LIMA,4.0,307.0
8,18,LIMA,LIMA,5.0,322.0
12,19,LIMA,LIMA,6.0,369.0
16,20,LIMA,LIMA,6.0,453.0
20,21,LIMA,LIMA,7.0,494.0
26,22,LIMA,LIMA,9.0,518.0
33,23,LIMA,LIMA,10.0,639.0
40,24,LIMA,LIMA,13.0,718.0
48,25,LIMA,LIMA,16.0,799.0
59,26,LIMA,LIMA,28.0,990.0
71,27,LIMA,LIMA,34.0,1059.0
83,28,LIMA,LIMA,39.0,1179.0
96,29,LIMA,LIMA,46.0,1257.0
110,30,LIMA,LIMA,51.0,1639.0
124,31,LIMA,LIMA,58.0,1837.0
138,32,LIMA,LIMA,65.0,2100.0
152,33,LIMA,LIMA,72.0,3016.0
166,34,LIMA,LIMA,82.0,3704.0
180,35,LIMA,LIMA,87.0,4210.0
194,36,LIMA,LIMA,94.0,4933.0
208,39,LIMA,LIMA,114.0,7476.0
223,40,LIMA,LIMA,117.0,8412.0
238,41,LIMA,LIMA,129.0,9107.0
254,42,LIMA,LIMA,129.0,9793.0
270,43,LIMA,LIMA,144.0,10234.0
286,44,LIMA,LIMA,169.0,10877.0
302,45,LIMA,LIMA,199.0,11297.0
318,46,LIMA,LIMA,227.0,12256.0
334,47,LIMA,LIMA,247.0,13214.0
351,48,LIMA,LIMA,267.0,14300.0
369,49,LIMA,LIMA,290.0,14814.0
387,50,LIMA,LIMA,303.0,16567.0
405,51,LIMA,LIMA,303.0,17884.0
423,52,LIMA,LIMA,332.0,18571.0
441,53,LIMA,LIMA,358.0,20048.0
459,54,LIMA,LIMA,404.0,21854.0
477,55,LIMA,LIMA,437.0,23561.0
495,56,LIMA,LIMA,491.0,25718.0
515,57,LIMA,LIMA,504.0,26908.0
535,58,LIMA,LIMA,517.0,28990.0
556,60,LIMA,LIMA,584.0,32339.0
578,61,LIMA,LIMA,613.0,35299.0
600,62,LIMA,LIMA,636.0,37606.0
622,63,LIMA,LIMA,653.0,39837.0
644,64,LIMA,LIMA,662.0,41844.0
666,65,LIMA,LIMA,672.0,43284.0
688,66,LIMA,LIMA,689.0,44333.0
710,67,LIMA,LIMA,725.0,46507.0
732,68,LIMA,LIMA,791.0,49605.0
754,69,LIMA,LIMA,817.0,52545.0
777,70,LIMA,LIMA,820.0,54901.0
800,71,LIMA,LIMA,857.0,57473.0
823,72,LIMA,LIMA,915.0,59712.0
846,73,LIMA,LIMA,955.0,61197.0
869,74,LIMA,LIMA,1012.0,64278.0
892,75,LIMA,LIMA,1060.0,67060.0
915,76,LIMA,LIMA,1114.0,70155.0
938,77,LIMA,LIMA,1164.0,71719.0
961,78,LIMA,LIMA,1208.0,74037.0
984,79,LIMA,LIMA,1235.0,75716.0
1008,80,LIMA,LIMA,1313.0,77486.0
1032,81,LIMA,LIMA,1359.0,80882.0
1056,82,LIMA,LIMA,1407.0,84994.0
1080,83,LIMA,LIMA,1473.0,87478.0
1105,84,LIMA,LIMA,1547.0,92057.0
1130,85,LIMA,LIMA,1625.0,96583.0
1155,86,LIMA,LIMA,1709.0,100526.0
1180,87,LIMA,LIMA,1786.0,103020.0
1205,88,LIMA,LIMA,1868.0,109078.0
1230,89,LIMA,LIMA,1947.0,108323.0
1255,90,LIMA,LIMA,2019.0,108680.0
1280,91,LIMA,LIMA,2095.0,110161.0
1305,92,LIMA,LIMA,2186.0,112974.0
1330,93,LIMA,LIMA,2283.0,116159.0
1355,94,LIMA,LIMA,2349.0,118036.0
1380,95,LIMA,LIMA,2449.0,120183.0
1405,96,LIMA,LIMA,2543.0,122883.0
1430,97,LIMA,LIMA,2675.0,125640.0
1455,98,LIMA,LIMA,2784.0,128700.0
1480,99,LIMA,LIMA,2894.0,129865.0
1505,100,LIMA,LIMA,2988.0,132186.0
1530,101,LIMA,LIMA,3083.0,134008.0
1555,102,LIMA,LIMA,3196.0,136464.0
1580,103,LIMA,LIMA,3278.0,138203.0
1605,104,LIMA,LIMA,3390.0,139869.0
1630,105,LIMA,LIMA,3485.0,141512.0
1655,106,LIMA,LIMA,3580.0,143017.0
1680,107,LIMA,LIMA,3674.0,144623.0
1705,108,LIMA,LIMA,3761.0,145466.0
1730,109,LIMA,LIMA,3855.0,147372.0
1755,110,LIMA,LIMA,3950.0,149377.0
1780,111,LIMA,LIMA,4029.0,151225.0
1805,112,LIMA,LIMA,4124.0,153068.0
1830,113,LIMA,LIMA,4228.0,154713.0
1855,114,LIMA,LIMA,4320.0,156172.0
1880,115,LIMA,LIMA,4420.0,157050.0
1905,116,LIMA,LIMA,4489.0,158189.0
1930,117,LIMA,LIMA,4581.0,159403.0
1955,118,LIMA,LIMA,4652.0,160901.0
1980,119,LIMA,LIMA,4725.0,162211.0
2005,120,LIMA,LIMA,4814.0,163824.0
